word,2020,2021,2022,2023
казка,1,0,0,0
соцмережа,0,1,0,0
настільки,0,0,3,0
мріяти,2,0,2,0
відгородитися,2,0,0,0
лікарня,0,2,2,0
зброя,0,0,1,1
кажуть,0,3,1,0
сестра,0,0,1,0
вчитися,0,0,3,2
пам’ятато,1,0,0,0
національний,1,0,0,0
переїхати,2,0,0,0
азовсталь,0,0,0,1
основа,0,0,0,1
вогонь,0,1,0,0
супер-україна,0,1,0,0
відповісти,1,0,0,0
парламент,0,0,0,1
російський,0,1,0,1
жаль,0,3,4,0
неможливо,0,1,0,2
жартувати,0,0,1,0
вважати,1,0,0,0
ніч,0,0,2,0
мелітополь,0,0,0,2
ціна,0,0,2,0
дрон,0,0,1,2
надзвичайний,0,0,1,0
віталій,0,1,0,0
суперрятувальник,0,1,0,0
університет,0,0,0,2
почути,0,0,0,2
працювати,0,0,2,1
малорос,1,0,0,0
вивезти,0,0,1,0
новий,2,9,5,7
відбуватися,0,1,0,0
квартирний,0,0,1,0
ідея,1,0,0,0
паркан,1,0,0,0
голосувати,1,0,0,0
берегти,2,0,0,0
продовжувати,0,1,0,0
відзначати,1,1,2,0
надія,0,0,1,0
втрата,0,1,0,1
знищений,0,0,0,2
талановитий,0,1,0,0
втеча,0,0,0,1
спати,0,0,1,0
щоранку,0,0,2,0
вокзал,0,0,0,1
розносити,0,0,0,1
окупація,0,0,0,2
село,0,0,1,0
повернення,0,0,0,5
земля,0,2,8,2
сема,0,0,1,0
нато,1,0,0,1
газ,0,0,1,0
пам’ятник,1,1,0,0
час,0,2,0,0
патріотизм,1,0,0,0
україна,5,14,31,20
об'єднувати,2,0,0,0
закон,0,0,4,0
цеглинка,0,0,0,1
вірність,0,0,1,0
тиждень,0,1,1,0
означати,1,0,0,1
назвати,0,0,0,1
кинути,0,0,0,1
поважати,2,0,1,0
ватник,1,0,0,0
вірний,0,0,1,1
слово,1,2,2,2
слава,0,0,1,1
присяга,0,0,1,0
бік,0,0,2,0
допис,0,1,0,0
ірпінь,0,0,0,1
втрачати,0,0,1,0
півтори,0,0,1,0
рок,0,2,1,3
однаково,6,0,0,0
хотіти,1,2,4,3
могила,1,0,0,0
найвищий,0,0,1,0
казати,0,1,1,4
сестричка,0,0,1,0
стяг,0,0,0,1
жити,3,2,2,0
гроші,0,1,0,0
бізнес,0,1,0,1
народний,0,0,1,0
шпроти,1,0,0,0
береговий,1,0,0,0
голодний,0,0,1,0
корабль,0,0,0,1
уявляти,1,0,0,0
забирати,0,1,0,0
виконати,0,1,0,0
об’єднати,0,0,2,0
початися,0,0,0,1
сотня,0,0,2,1
гелікоптер,0,0,0,1
учасник,0,0,1,0
соромитися,0,0,1,0
прокричати,0,0,0,1
молотовий,0,0,0,1
унікальний,0,0,3,0
побороти,0,1,0,0
поклик,0,0,1,0
приєднатися,0,1,0,0
киянин,0,1,0,0
флоренція,0,0,0,1
водити,0,1,0,0
соромно,0,2,1,1
поліклініка,0,0,1,0
учасниця,0,0,1,0
важливий,0,0,1,0
розуміти,0,1,0,0
територія,1,0,0,0
окупований,0,0,0,1
бачити,1,0,3,1
нормандський,1,0,0,0
одеса,0,0,1,2
налякати,0,0,1,0
долі,1,0,0,0
минулий,0,0,1,0
приклад,0,0,1,0
супергерой,0,2,0,0
держава,0,1,6,1
перейти,1,0,0,0
хоробрість,0,1,0,0
жінка,0,0,1,1
лінія,0,0,1,0
генштаб,0,0,0,1
десятка,0,0,2,0
антонівський,0,0,0,1
вибух,0,0,0,1
перемир’я,0,1,0,0
іграшка,0,0,0,1
давати,2,2,0,0
нагадати,0,2,0,0
батьки,0,1,0,0
непотрібний,0,1,0,1
відчути,0,0,0,2
добудувати,0,1,0,0
вечір,0,0,1,0
діти,0,4,2,3
небайдужий,0,0,1,0
домогосподарка,2,0,0,0
британія,0,0,1,1
уламок,0,0,0,1
прокинутися,0,0,0,1
вдвічі,0,0,1,0
здоровий,1,0,0,0
вітати,0,1,0,0
тонна,0,0,1,2
корупція,0,2,0,0
передмова,0,0,0,1
сусід,0,0,1,0
розмовляти,1,0,0,0
команда,0,0,0,1
доводити,0,0,1,0
ссо,0,0,0,1
здійматися,0,0,1,0
судний,0,0,0,1
привод,1,0,0,0
трансформер,0,1,0,0
гість,0,0,3,0
свобода,0,0,1,0
світло,0,0,1,0
сім'я,0,0,1,0
відчувати,0,0,1,0
медіа,0,0,0,1
боротися,0,0,1,2
власник,0,0,1,0
росія,0,0,0,1
рік,1,1,0,0
одесит,0,1,0,0
поліція,0,0,0,1
прожити,0,0,1,0
заглушка,1,0,0,0
повірити,0,0,0,1
захисниця,0,0,1,0
нудно,0,1,0,0
паніка,0,0,0,1
сплачувати,1,0,0,0
дивувати,0,0,0,1
навесні,0,1,0,0
мужньо,0,0,1,0
зневіра,0,0,0,1
лічений,0,1,0,0
фотограф,1,0,0,0
президент,5,4,2,0
слов’янський,1,0,0,0
зіпсувати,0,0,1,0
москва,0,0,0,1
смартфон,0,0,1,0
харко,1,0,0,0
смерть,0,0,1,0
фраза,0,2,0,0
стоячи,0,0,1,0
олігарх,0,0,1,0
найсильніший,0,3,0,0
військовий,0,2,3,0
басейн,0,0,1,0
найкращий,0,2,2,2
ярослав,0,1,0,0
багатоповерхівка,0,0,0,1
цукерка,0,1,0,0
пішки,0,0,1,0
донечка,0,0,1,0
віктюк,0,1,0,0
перешкода,0,0,2,0
вивчити,1,0,0,0
міф,0,1,0,0
загиблий,0,1,0,0
холодець,0,0,1,0
житло,0,1,1,0
пошук,0,0,0,1
побратим,0,0,1,0
дорога,1,4,0,0
варшава,0,0,0,1
частинка,0,0,1,0
немовля,0,0,1,1
арена,0,0,1,0
рекорд,0,0,1,0
врятувати,0,1,3,0
природа,0,2,0,0
перетворити,0,1,0,0
посічений,0,0,0,1
боротьба,0,1,0,2
дід,0,0,0,1
родич,0,0,1,0
зупиняти,0,0,0,2
гинути,0,1,0,0
гол,0,0,1,0
шампанський,1,0,0,0
перебувати,0,0,1,0
запаморочення,1,0,0,0
прикордонник,0,0,0,1
лютий,0,0,0,6
будувати,1,0,5,0
щиро,0,1,1,0
гурзуф,1,0,0,0
здобувати,0,0,1,0
херсон,0,0,0,4
писати,0,0,2,0
хвиля,0,0,0,1
подарунок,0,0,0,1
гордість,0,2,0,0
велотрек,0,1,0,0
олексій,0,1,0,0
названий,1,0,0,0
поранений,0,0,0,1
кропивницький,0,0,0,1
великий,1,4,3,1
потрібний,0,0,0,4
друзь,0,0,1,2
їдучий,1,0,0,0
четверо,0,1,2,0
сталий,0,0,1,1
технік,0,0,0,2
познайомитися,0,0,1,0
темрявий,0,0,0,1
совка,1,0,0,0
складно,0,0,0,2
другий,0,0,0,1
правильний,1,0,0,0
динамо,1,0,0,0
компроміс,0,0,0,1
суша,0,0,1,0
онук,0,0,0,1
угору,0,1,1,0
артем,0,1,0,0
намагатися,0,1,0,0
кнесет,0,0,0,1
діточки,0,0,3,0
івано-франківськ,0,0,0,1
героїчно,0,0,0,1
ступка,1,0,0,0
можливий,0,1,0,0
кий,0,1,0,1
мирний,0,0,1,0
дедпул,0,1,0,0
солдат,1,0,0,0
доба,0,1,0,0
донецьк,0,1,0,0
вінниця,0,0,0,1
цінність,0,0,1,0
операція,0,0,3,0
відмінник,1,0,0,0
траса,0,0,1,0
воїн,0,0,0,4
матеріальний,0,0,1,0
підрізати,1,0,0,0
єдиний,2,0,1,0
фінал,0,0,1,0
витримувати,0,0,0,1
народження,1,0,0,0
переїсти,1,0,0,0
додому,1,0,2,0
медик,0,1,1,0
захисник,0,2,1,0
вивчати,0,0,1,0
полонений,2,1,1,2
мапа,0,0,1,0
